attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,week_day,year,fiedl_type
40030.0,New York Mets,1,7,3,April 3, 313,Night Game,Kansas City Royals,0,9,4, 7:38pm, Kauffman Stadium,Sunday,2016,on grass
21621.0,Philadelphia Phillies,0,5,2,April 6, 223,Night Game,Cincinnati Reds,0,8,3, 7:11pm, Great American Ball Park,Wednesday,2016,on grass
12622.0,Minnesota Twins,0,5,2,April 6, 311,Night Game,Baltimore Orioles,0,9,4, 7:07pm, Oriole Park at Camden Yards,Wednesday,2016,on grass
18531.0,Washington Nationals,0,8,3,April 6, 253,Night Game,Atlanta Braves,1,8,1, 7:10pm, Turner Field,Wednesday,2016,on grass
18572.0,Colorado Rockies,1,8,4,April 6, 239,Day Game,Arizona Diamondbacks,0,8,3, 12:40pm, Chase Field,Wednesday,2016,on grass
28386.0,Seattle Mariners,1,11,10,April 5, 330,Night Game,Texas Rangers,1,7,2, 7:07pm, Globe Life Park in Arlington,Tuesday,2016,on grass
12757.0,Toronto Blue Jays,0,9,2,April 5, 307,Night Game,Tampa Bay Rays,1,7,3, 7:10pm, Tropicana Field,Tuesday,2016,on turf
28329.0,Los Angeles Dodgers,0,6,3,April 5, 236,Night Game,San Diego Padres,1,2,0, 7:11pm, Petco Park,Tuesday,2016,on grass
26049.0,St. Louis Cardinals,1,8,5,April 5, 327,Night Game,Pittsburgh Pirates,2,12,6, 7:08pm, PNC Park,Tuesday,2016,on grass
10478.0,Chicago White Sox,0,11,5,April 5, 328,Night Game,Oakland Athletics,0,10,4, 7:08pm, Oakland-Alameda County Coliseum,Tuesday,2016,on grass
47820.0,Houston Astros,0,6,5,April 5, 317,Day Game,New York Yankees,1,4,3, 1:11pm, Yankee Stadium III,Tuesday,2016,on grass
24123.0,San Francisco Giants,0,7,2,April 5, 229,Night Game,Milwaukee Brewers,0,6,1, 7:10pm, Miller Park,Tuesday,2016,on grass
36911.0,Detroit Tigers,1,12,8,April 5, 347,Night Game,Miami Marlins,2,10,7, 7:37pm, Marlins Park,Tuesday,2016,on grass
13468.0,Texas Rangers,0,14,7,April 11, 300,Night Game,Seattle Mariners,0,7,3, 7:10pm, Safeco Field,Monday,2016,on grass
45229.0,San Diego Padres,0,6,4,April 11, 251,Day Game,Philadelphia Phillies,0,8,3, 3:09pm, Citizens Bank Park,Monday,2016,on grass
13371.0,Los Angeles Angels of Anaheim,0,9,4,April 11, 305,Night Game,Oakland Athletics,0,10,1, 7:07pm, Oakland-Alameda County Coliseum,Monday,2016,on grass
24318.0,Miami Marlins,1,15,10,April 11, 345,Night Game,New York Mets,0,7,3, 7:11pm, Citi Field,Monday,2016,on grass
40638.0,Chicago White Sox,0,9,4,April 11, 305,Day Game,Minnesota Twins,1,6,1, 3:16pm, Target Field,Monday,2016,on grass
