attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue
40030.0,New York Mets,1,7,3,https://www.baseball-reference.com/boxes/KCA/KCA201604030.shtml,"Sunday, April 3, 2016",,: 3:13,"Night Game, on grass",Kansas City Royals,0,9,4,Start Time: 7:38 p.m. Local, Kauffman Stadium
21621.0,Philadelphia Phillies,0,5,2,https://www.baseball-reference.com/boxes/CIN/CIN201604060.shtml,"Wednesday, April 6, 2016",,: 2:23,"Night Game, on grass",Cincinnati Reds,0,8,3,Start Time: 7:11 p.m. Local, Great American Ball Park
12622.0,Minnesota Twins,0,5,2,https://www.baseball-reference.com/boxes/BAL/BAL201604060.shtml,"Wednesday, April 6, 2016",,: 3:11,"Night Game, on grass",Baltimore Orioles,0,9,4,Start Time: 7:07 p.m. Local, Oriole Park at Camden Yards
18531.0,Washington Nationals,0,8,3,https://www.baseball-reference.com/boxes/ATL/ATL201604060.shtml,"Wednesday, April 6, 2016",,: 2:53,"Night Game, on grass",Atlanta Braves,1,8,1,Start Time: 7:10 p.m. Local, Turner Field
18572.0,Colorado Rockies,1,8,4,https://www.baseball-reference.com/boxes/ARI/ARI201604060.shtml,"Wednesday, April 6, 2016",,: 2:39,"Day Game, on grass",Arizona Diamondbacks,0,8,3,Start Time: 12:40 p.m. Local, Chase Field
28386.0,Seattle Mariners,1,11,10,https://www.baseball-reference.com/boxes/TEX/TEX201604050.shtml,"Tuesday, April 5, 2016",,: 3:30,"Night Game, on grass",Texas Rangers,1,7,2,Start Time: 7:07 p.m. Local, Globe Life Park in Arlington
12757.0,Toronto Blue Jays,0,9,2,https://www.baseball-reference.com/boxes/TBA/TBA201604050.shtml,"Tuesday, April 5, 2016",,: 3:07,"Night Game, on turf",Tampa Bay Rays,1,7,3,Start Time: 7:10 p.m. Local, Tropicana Field
28329.0,Los Angeles Dodgers,0,6,3,https://www.baseball-reference.com/boxes/SDN/SDN201604050.shtml,"Tuesday, April 5, 2016",,: 2:36,"Night Game, on grass",San Diego Padres,1,2,0,Start Time: 7:11 p.m. Local, Petco Park
26049.0,St. Louis Cardinals,1,8,5,https://www.baseball-reference.com/boxes/PIT/PIT201604050.shtml,"Tuesday, April 5, 2016",,: 3:27,"Night Game, on grass",Pittsburgh Pirates,2,12,6,Start Time: 7:08 p.m. Local, PNC Park
10478.0,Chicago White Sox,0,11,5,https://www.baseball-reference.com/boxes/OAK/OAK201604050.shtml,"Tuesday, April 5, 2016",,: 3:28,"Night Game, on grass",Oakland Athletics,0,10,4,Start Time: 7:08 p.m. Local, Oakland-Alameda County Coliseum
47820.0,Houston Astros,0,6,5,https://www.baseball-reference.com/boxes/NYA/NYA201604050.shtml,"Tuesday, April 5, 2016",,: 3:17,"Day Game, on grass",New York Yankees,1,4,3,Start Time: 1:11 p.m. Local, Yankee Stadium III
24123.0,San Francisco Giants,0,7,2,https://www.baseball-reference.com/boxes/MIL/MIL201604050.shtml,"Tuesday, April 5, 2016",,: 2:29,"Night Game, on grass",Milwaukee Brewers,0,6,1,Start Time: 7:10 p.m. Local, Miller Park
36911.0,Detroit Tigers,1,12,8,https://www.baseball-reference.com/boxes/MIA/MIA201604050.shtml,"Tuesday, April 5, 2016",,: 3:47,"Night Game, on grass",Miami Marlins,2,10,7,Start Time: 7:37 p.m. Local, Marlins Park
13468.0,Texas Rangers,0,14,7,https://www.baseball-reference.com/boxes/SEA/SEA201604110.shtml,"Monday, April 11, 2016",,: 3:00,"Night Game, on grass",Seattle Mariners,0,7,3,Start Time: 7:10 p.m. Local, Safeco Field
45229.0,San Diego Padres,0,6,4,https://www.baseball-reference.com/boxes/PHI/PHI201604110.shtml,"Monday, April 11, 2016",,: 2:51,"Day Game, on grass",Philadelphia Phillies,0,8,3,Start Time: 3:09 p.m. Local, Citizens Bank Park
13371.0,Los Angeles Angels of Anaheim,0,9,4,https://www.baseball-reference.com/boxes/OAK/OAK201604110.shtml,"Monday, April 11, 2016",,: 3:05,"Night Game, on grass",Oakland Athletics,0,10,1,Start Time: 7:07 p.m. Local, Oakland-Alameda County Coliseum
24318.0,Miami Marlins,1,15,10,https://www.baseball-reference.com/boxes/NYN/NYN201604110.shtml,"Monday, April 11, 2016",,: 3:45,"Night Game, on grass",New York Mets,0,7,3,Start Time: 7:11 p.m. Local, Citi Field
40638.0,Chicago White Sox,0,9,4,https://www.baseball-reference.com/boxes/MIN/MIN201604110.shtml,"Monday, April 11, 2016",,: 3:05,"Day Game, on grass",Minnesota Twins,1,6,1,Start Time: 3:16 p.m. Local, Target Field
43332.0,Kansas City Royals,0,11,2,https://www.baseball-reference.com/boxes/HOU/HOU201604110.shtml,"Monday, April 11, 2016",,: 2:59,"Night Game, on grass",Houston Astros,0,14,8,Start Time: 7:12 p.m. Local, Minute Maid Park
26271.0,Pittsburgh Pirates,1,17,7,https://www.baseball-reference.com/boxes/DET/DET201604110.shtml,"Monday, April 11, 2016",,: 3:17,"Day Game, on grass",Detroit Tigers,0,6,4,Start Time: 1:10 p.m. Local, Comerica Park
40882.0,Cincinnati Reds,1,7,3,https://www.baseball-reference.com/boxes/CHN/CHN201604110.shtml,"Monday, April 11, 2016",,: 3:03,"Night Game, on grass",Chicago Cubs,0,3,5,Start Time: 7:06 p.m. Local, Wrigley Field
21203.0,Kansas City Royals,0,13,6,https://www.baseball-reference.com/boxes/HOU/HOU201604140.shtml,"Thursday, April 14, 2016",,: 2:41,"Night Game, on grass",Houston Astros,0,5,2,Start Time: 7:11 p.m. Local, Minute Maid Park
21226.0,San Francisco Giants,1,9,6,https://www.baseball-reference.com/boxes/COL/COL201604140.shtml,"Thursday, April 14, 2016",,: 3:26,"Day Game, on grass",Colorado Rockies,3,13,11,Start Time: 1:10 p.m. Local, Coors Field
