attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,other_info_string,start_time,venue
40030,New York Mets,1,7,3,https://www.baseball-reference.com/boxes/KCA/KCA201604030.shtml,"Sunday, April 3, 2016",,: 3:13,"Night Game, on grass",Kansas City Royals,0,9,4,"<!--  
    
Umpires: HP - Gerry Davis, 1B - Sam Holbrook, 2B - Rob Drake, 3B - Carlos Torres.Time of Game: 3:13.
Attendance: 40,030.
Field Condition: Unknown.
Start Time Weather: 74&deg; F, Wind 14mph from Right to Left, Sunny.

    

-->",Start Time: 7:38 p.m. Local, Kauffman Stadium
21621,Philadelphia Phillies,0,5,2,https://www.baseball-reference.com/boxes/CIN/CIN201604060.shtml,"Wednesday, April 6, 2016",,: 2:23,"Night Game, on grass",Cincinnati Reds,0,8,3,"<!--  
    
Umpires: HP - Tony Randazzo, 1B - Brian Knight, 2B - Todd Tichenor, 3B - Bill Miller.Time of Game: 2:23.
Attendance: 21,621.
Field Condition: Unknown.
Start Time Weather: 55&deg; F, Wind 24mph from Right to Left, Overcast.

    

-->",Start Time: 7:11 p.m. Local, Great American Ball Park
12622,Minnesota Twins,0,5,2,https://www.baseball-reference.com/boxes/BAL/BAL201604060.shtml,"Wednesday, April 6, 2016",,: 3:11,"Night Game, on grass",Baltimore Orioles,0,9,4,"<!--  
    
Umpires: HP - Mark Wegner, 1B - Marty Foster, 2B - Mike Muchlinski, 3B - Mike Winters.Time of Game: 3:11.
Attendance: 12,622.
Field Condition: Unknown.
Start Time Weather: 48&deg; F, Wind 7mph out to Leftfield.

    

-->",Start Time: 7:07 p.m. Local, Oriole Park at Camden Yards
18531,Washington Nationals,0,8,3,https://www.baseball-reference.com/boxes/ATL/ATL201604060.shtml,"Wednesday, April 6, 2016",,: 2:53,"Night Game, on grass",Atlanta Braves,1,8,1,"<!--  
    
Umpires: HP - Ron Kulpa, 1B - Paul Nauert, 2B - Chris Conroy, 3B - Jerry Meals.Time of Game: 2:53.
Attendance: 18,531.
Field Condition: Unknown.
Start Time Weather: 65&deg; F, Wind 10mph from Right to Left, Cloudy.

    

-->",Start Time: 7:10 p.m. Local, Turner Field
18572,Colorado Rockies,1,8,4,https://www.baseball-reference.com/boxes/ARI/ARI201604060.shtml,"Wednesday, April 6, 2016",,: 2:39,"Day Game, on grass",Arizona Diamondbacks,0,8,3,"<!--  
    
Umpires: HP - Alan Porter, 1B - John Tumpane, 2B - Jeff Kellogg, 3B - Brian O'Nora.Time of Game: 2:39.
Attendance: 18,572.
Start Time Weather: 77&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 12:40 p.m. Local, Chase Field
28386,Seattle Mariners,1,11,10,https://www.baseball-reference.com/boxes/TEX/TEX201604050.shtml,"Tuesday, April 5, 2016",,: 3:30,"Night Game, on grass",Texas Rangers,1,7,2,"<!--  
    
Umpires: HP - Marvin Hudson, 1B - James Hoye, 2B - Chad Fairchild, 3B - Jim Joyce.Time of Game: 3:30.
Attendance: 28,386.
Field Condition: Unknown.
Start Time Weather: 81&deg; F, Wind 12mph from Right to Left, Cloudy.

    

-->",Start Time: 7:07 p.m. Local, Globe Life Park in Arlington
12757,Toronto Blue Jays,0,9,2,https://www.baseball-reference.com/boxes/TBA/TBA201604050.shtml,"Tuesday, April 5, 2016",,: 3:07,"Night Game, on turf",Tampa Bay Rays,1,7,3,"<!--  
    
Umpires: HP - Tim Timmons, 1B - Laz Diaz, 2B - Mike Everitt, 3B - Paul Emmel.Time of Game: 3:07.
Attendance: 12,757.
Start Time Weather: 72&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:10 p.m. Local, Tropicana Field
28329,Los Angeles Dodgers,0,6,3,https://www.baseball-reference.com/boxes/SDN/SDN201604050.shtml,"Tuesday, April 5, 2016",,: 2:36,"Night Game, on grass",San Diego Padres,1,2,0,"<!--  
    
Umpires: HP - Eric Cooper, 1B - Jim Wolf, 2B - Adrian Johnson, 3B - Gary Cederstrom.Time of Game: 2:36.
Attendance: 28,329.
Field Condition: Unknown.
Start Time Weather: 70&deg; F, Wind 6mph from Left to Right.

    

-->",Start Time: 7:11 p.m. Local, Petco Park
26049,St. Louis Cardinals,1,8,5,https://www.baseball-reference.com/boxes/PIT/PIT201604050.shtml,"Tuesday, April 5, 2016",,: 3:27,"Night Game, on grass",Pittsburgh Pirates,2,12,6,"<!--  
    
Umpires: HP - Hunter Wendelstedt, 1B - Tripp Gibson, 2B - Clint Fagan, 3B - Jerry Layne.Time of Game: 3:27.
Attendance: 26,049.
Field Condition: Unknown.
Start Time Weather: 40&deg; F, Wind 7mph out to Leftfield, Sunny.

    

-->",Start Time: 7:08 p.m. Local, PNC Park
10478,Chicago White Sox,0,11,5,https://www.baseball-reference.com/boxes/OAK/OAK201604050.shtml,"Tuesday, April 5, 2016",,: 3:28,"Night Game, on grass",Oakland Athletics,0,10,4,"<!--  
    
Umpires: HP - Phil Cuzzi, 1B - Dan Bellino, 2B - Gabe Morales, 3B - Tom Hallion.Time of Game: 3:28.
Attendance: 10,478.
Field Condition: Unknown.
Start Time Weather: 70&deg; F, Wind 8mph out to Rightfield, Cloudy.

    

-->",Start Time: 7:08 p.m. Local, Oakland-Alameda County Coliseum
